Wall time,Step,Value
1503493665.113056,0,1.4682477712631226
1503493725.736808,1,0.7804540395736694
1503493785.034435,2,0.6243090629577637
1503493843.820669,3,0.5476979613304138
1503493902.454255,4,0.4980114698410034
1503493960.856421,5,0.4632991850376129
1503494019.450558,6,0.4317243695259094
1503494078.212,7,0.41027870774269104
1503494136.815654,8,0.39086487889289856
1503494196.062634,9,0.37512853741645813
1503494254.595232,10,0.3632493317127228
1503494313.671921,11,0.344198614358902
1503494372.334714,12,0.3345288932323456
1503494431.485268,13,0.32496631145477295
1503494490.258579,14,0.3173043429851532
1503494549.321513,15,0.30825766921043396
1503494607.316655,16,0.30251753330230713
1503494665.835504,17,0.29295140504837036
1503494723.297832,18,0.2875937223434448
1503494781.027794,19,0.27759939432144165
1503494838.789234,20,0.27651751041412354
1503494896.41838,21,0.264753520488739
1503494955.353846,22,0.2621628940105438
1503495014.25965,23,0.25777319073677063
1503495073.822628,24,0.2550576627254486
1503495133.514998,25,0.2484876662492752
1503495194.546991,26,0.2463500052690506
1503495253.880963,27,0.24205151200294495
1503495313.796353,28,0.23767969012260437
1503495374.144347,29,0.23458558320999146
1503495434.759811,30,0.2271810621023178
1503495496.311434,31,0.22685493528842926
1503495560.40702,32,0.22113245725631714
1503495623.176181,33,0.22007381916046143
1503495686.389208,34,0.21823212504386902
1503495749.497956,35,0.21248303353786469
1503495814.050476,36,0.21379782259464264
1503495879.217563,37,0.2072625607252121
1503495943.713225,38,0.20720943808555603
1503496007.931385,39,0.2007223665714264
1503496072.642089,40,0.20106303691864014
1503496132.265473,41,0.19805239140987396
1503496192.479625,42,0.19378544390201569
1503496252.830597,43,0.19465355575084686
1503496313.418764,44,0.189981609582901
1503496373.617511,45,0.1866719275712967
1503496432.737804,46,0.18655386567115784
1503496491.735919,47,0.18387623131275177
1503496550.822903,48,0.18477986752986908
1503496609.9491,49,0.18123340606689453
